CAPITALINE CODE,CO_NAME,[Date,[Close Price
33444,Kirloskar Oil,7/20/2023,417.9
33444,Kirloskar Oil,7/21/2023,413.15
33444,Kirloskar Oil,7/24/2023,417.35
33444,Kirloskar Oil,7/25/2023,413.95
33444,Kirloskar Oil,7/26/2023,417.1
33444,Kirloskar Oil,7/27/2023,422.25
33444,Kirloskar Oil,7/28/2023,439.65
33444,Kirloskar Oil,7/31/2023,452.3
33444,Kirloskar Oil,8/1/2023,448
33444,Kirloskar Oil,8/2/2023,438.85
33444,Kirloskar Oil,8/3/2023,455.25
33444,Kirloskar Oil,8/4/2023,449.4
33444,Kirloskar Oil,8/7/2023,435.75
33444,Kirloskar Oil,8/8/2023,451.5
33444,Kirloskar Oil,8/9/2023,446.45
33444,Kirloskar Oil,8/10/2023,441.15
33444,Kirloskar Oil,8/11/2023,479
33444,Kirloskar Oil,8/14/2023,498.3
33444,Kirloskar Oil,8/16/2023,491.25
33444,Kirloskar Oil,8/17/2023,509.1
33444,Kirloskar Oil,8/18/2023,519.8
33444,Kirloskar Oil,8/21/2023,478.45
33444,Kirloskar Oil,8/22/2023,464.9
33444,Kirloskar Oil,8/23/2023,468.55
33444,Kirloskar Oil,8/24/2023,464.65
33444,Kirloskar Oil,8/25/2023,465.85
33444,Kirloskar Oil,8/28/2023,463.4
33444,Kirloskar Oil,8/29/2023,464.05
33444,Kirloskar Oil,8/30/2023,465.9
33444,Kirloskar Oil,8/31/2023,483.85
33444,Kirloskar Oil,9/1/2023,491.65
33444,Kirloskar Oil,9/4/2023,514.85
33444,Kirloskar Oil,9/5/2023,523.8
33444,Kirloskar Oil,9/6/2023,509
33444,Kirloskar Oil,9/7/2023,507.9
33444,Kirloskar Oil,9/8/2023,509.05
33444,Kirloskar Oil,9/11/2023,534.4
33444,Kirloskar Oil,9/12/2023,497.8
33444,Kirloskar Oil,9/13/2023,488.25
33444,Kirloskar Oil,9/14/2023,491.5
